Cikkszám;Kategória;Gyártó;Név;Ár;Garidõ
66161;Monitor;Asus;"Asus 23"" VX239H IPS LED 23"",1920x1080,80000000:1,250cd/m2,5ms,2xHDMI,Black,Multimédia,LED,D-Sub,IPS,23"",Full HD,16:9";38200;36
66162;Nyomtató;Kyocera;Kyocera P2035D Ecosys A4 duplex lézernyomtató (FS-1120D utódja);34740;24
66164;Nyomtató;Kyocera;Kyocera P2135DN Ecosys A4 duplex hálózatos lézernyomtató (FS-1370DN utódja);39190;24
66165;Nyomtató;Kyocera;Kyocera P6021cdn Ecosys A4 duplex színes lézernyomtató (FS-C5150DN utódja);63170;24
66394;Memória;Kingston;Kingston 32GB DDR3 1866MHz Kit(4x8GB) HyperX XMP Beast Series;43120;-1
66395;Memória;Kingston;Kingston 16GB DDR3 1866MHz Kit(2x8GB) HyperX XMP Beast Series;21570;-1
66618;Monitor;LG;"LG 19"" 19MB35P-B LED 19"",1280x1024,5M:1,250cd/m2,5ms,1xDVI,Black,LED,D-Sub,4:3,19""";34270;36
66626;Nyomtató;Canon;Canon IX6850 PIXMA A3+ wireless színes tintasugaras nyomtató;46250;12
66649;Videokártya;GIGABYTE;GIGABYTE GTX750Ti 2GB DDR5 GV-N75TOC-2GI nVidia,PCIE,GPU:1033/1111MHz,RAM:5400MHz,2GB,DDR5,128bit,Aktív hûtés,2xDVI,1xHDMI,DisplayPort;29250;36
66723;Monitor;Benq;"Benq 27"" EW2740L LED 27"",1920x1080,20M:1,300:1cd/m2,4ms,2xHDMI,Black,LED,D-Sub,27"",Full HD,16:9";66710;36
66727;Monitor;LG;"LG 19"" 19MB35D-B IPS LED 19"",1280x1024,5M:1,250cd/m2,5ms,1xDVI,Black,LED,D-Sub,5:4,19""";31930;36
66732;Videokártya;Asus;Asus GTX750-PHOC-1GD5 nVidia,PCIE,GPU:1059/1137MHz,RAM:5010MHz,1GB,DDR5,128bit,Aktív hûtés,VGA,1xDVI,1xHDMI;27750;36
66733;Videokártya;Asus;Asus GTX750TI-OC-2GD5 nVidia,PCIE,GPU:1072/1150MHz,RAM:5400MHz,2GB,DDR5,128bit,Aktív hûtés,VGA,2xDVI,1xHDMI;33050;36
66739;Videokártya;EVGA;EVGA GeForce GTX 750 1GB DDR5 (Superclocked) nVidia,PCIE,GPU:1215/1294MHz,RAM:5012MHz,1GB,DDR5,128bit,Aktív hûtés,1xDVI,1xHDMI,SLI,CrossFire,DisplayPort;27600;36
66740;Videokártya;EVGA;EVGA GeForce GTX 750 Ti 2GB DDR5 nVidia,PCIE,GPU:1020/1085MHz,RAM:5400MHz,2GB,DDR5,128bit,Aktív hûtés,1xDVI,1xHDMI,SLI,CrossFire,DisplayPort;32750;36
66741;Videokártya;EVGA;EVGA GeForce GTX 750 Ti 2GB DDR5 ACX FTW nVidia,PCIE,GPU:1189/1268MHz,RAM:5400MHz,2GB,DDR5,128bit,Aktív hûtés,1xDVI,1xHDMI,SLI,CrossFire,DisplayPort;34100;36
66742;Videokártya;EVGA;EVGA GeForce GTX 750 Ti 2GB DDR5 (Superclocked) nVidia,PCIE,GPU:1176/1255MHz,RAM:5400MHz,2GB,DDR5,128bit,Aktív hûtés,1xDVI,1xHDMI,SLI,CrossFire,DisplayPort;33650;36
66803;Nyomtató;Canon;Canon IP2850 PIXMA tintasugaras nyomtató;8050;12
66806;Videokártya;Msi;Msi N750Ti-2GD5/OC nVidia,PCIE,GPU:1059/1137MHz,RAM:5400MHz,2GB,DDR5,128bit,Aktív hûtés,VGA,1xDVI,1xHDMI;31600;36
66807;Videokártya;Msi;Msi N750Ti TF 2GD5/OC nVidia,PCIE,GPU:1020/1059/1085MHz,RAM:5400MHz,2GB,DDR5,128bit,Aktív hûtés,VGA,1xDVI,1xHDMI;31950;36
66820;Videokártya;Palit;Palit GeForce GTX750 Ti 2GB DDR5 StormX OC nVidia,PCIE,GPU:1085/1163MHz,RAM:5500MHz,2GB,DDR5,128bit,Aktív hûtés,VGA,1xDVI,SLI,mini HDMI;28780;36
66869;Memória;Transcend;Transcend 2GB DDR2 667MHz 128Mx8 CL5;6290;-1
66871;Memória;Transcend;Transcend 2GB DDR3 1066MHz;7770;-1
67055;Processzor;AMD;AMD X4 A10 7850K FM2+ 3,7GHz BOX;24550;36
67091;Processzor;AMD;AMD X2 A4-4020 FM2 3,2GHz BOX;6700;36
67093;Videokártya;Asus;Asus 210-SL-1GD3-BRK nVidia,PCIE,GPU:400MHz,RAM:1200MHz,1GB,DDR3,64bit,Passzív hûtés,VGA,1xDVI,1xHDMI,LP,2db Low Profile hátlap;8140;36
67242;Monitor;Benq;"Benq 21,5"" GL2250HM LED 21,5"",1920x1080,12M:1,250cd/m2,5ms,1xDVI,1xHDMI,Black,Multimédia,LED,D-Sub,21,5"",Full HD,16:9";28360;36
67261;Memória;Kingston;Kingston 8GB DDR3 1866MHz Kit(2x4GB) HyperX Predator (T2) XMP;10900;-1
67262;Memória;Kingston;Kingston 8GB DDR3 1866MHz Kit(2x4GB) HyperX XMP Beast (T3) Series;10490;-1
67348;Videokártya;Asus;Asus GTX750TI-PH-2GD5 nVidia,PCIE,GPU:1020/1085MHz,RAM:5400MHz,2GB,DDR5,128bit,Aktív hûtés,VGA,2xDVI,1xHDMI;31050;36
67466;Memória;A-Data;A-Data 2GB DDR2 800MHz Bulk;6960;-1
67603;Monitor;HP;"HP 30"" Z30i IPS LED 30"",2560x1600,1000:1,350cd/m2,8ms,1xDVI,1xHDMI,Black,Pivot,LED,D-Sub, USB,IPS, 16:10,30"",DP,Full HD";330690;36
67607;Monitor;Lenovo;"Lenovo 24"" LT2423 LED 24"",1920x1080,10000:1,250cd/m2,5ms,1xHDMI,Black,Multimédia,LED,D-Sub,24"",Full HD,16:9";47510;36
67623;Monitor;Asus;"Asus 20"" VS207T-P LED 20"",1600x900,80M:1,250cd/m2,5ms,1xDVI,Black,Multimédia,LED,D-Sub,20"",16:9";26700;36
67630;Nyomtató;Oki;Oki B721DN lézer LED nyomtató;159970;36
67667;Videokártya;Gainward;Gainward GeForce 750GTX Ti 2GB DDR5 nVidia,PCIE,GPU:1085/1163MHz,RAM:2750MHz,2GB,DDR5,128bit,Aktív hûtés,VGA,1xDVI,1xHDMI;29200;36
67682;Processzor;AMD;AMD X2 A4-6320 FM2 3,8GHz BOX;8900;36
67683;Processzor;AMD;AMD X2 A6-6420(K) FM2 4,0GHz BOX Black Edition;11300;36
67747;Monitor;Benq;"Benq 21,5"" VW2235H LED 21,5"",1920x1080,20M:1,250cd/m2,6ms,1xDVI,1xHDMI,White,LED,D-Sub,21,5"",Full HD,16:9";33820;36
67904;Videokártya;Gainward;Gainward GeForce 750GTX Ti  2GB DDR5 Golden Sample nVidia,PCIE,GPU:1202/1281MHz,RAM:3004MHz,2GB,DDR5,128bit,Aktív hûtés,VGA,1xDVI,1xHDMI;30690;36
67906;Videokártya;Sapphire;Sapphire R7 240 1GB DDR3 with Boost AMD,PCIE,GPU:730/780MHz,RAM:1800MHz,1GB,DDR3,64bit,Aktív hûtés,VGA,1xDVI,1xHDMI,CrossFire;12750;24
67931;Monitor;LG;"LG 23"" 23MB35PM-B IPS LED 23"",1920x1080,5M:1,250cd/m2,5ms,1xDVI,Black,Pivot,LED,D-Sub,AH-IPS,23"",Full HD,16:9";34950;36
67975;Memória;Silicon Power;Silicon Power 8GB DDR3 2400MHz Kit (2x4GB) Xpower;14050;-1
68019;Videokártya;Asus;Asus R7 265DC2-2GD5 AMD,PCIE,GPU:900/925MHz,RAM:5600MHz,2GB,DDR5,256bit,Aktív hûtés,2xDVI,1xHDMI,DisplayPort;37990;36
68051;Monitor;HP;"HP 19"" EliteDisplay E190i (E4U30AA9) LED 19"",1280x1024,3000000:1,250cd/m2,8ms,1xDVI,Black,LED,D-Sub, USB,5:4,19"",DP";48440;36
68063;Videokártya;Asus;Asus HD5450-SL-1GD3-BRK AMD,PCIE,GPU:650MHz,RAM:900MHz,1GB,DDR3,64bit,Passzív hûtés,VGA,1xDVI,1xHDMI,LP,2db Low Profile hátlap;8630;36
68186;Monitor;Samsung;"Samsung 23,6"" S24D590PL LED 23,6"",1920x1080,MegaDCR/1000:1,250cd/m2,5ms,1xHDMI,Black,LED,D-Sub,23,6"",Full HD,16:9";43810;12
68187;Monitor;Samsung;"Samsung 27"" S27D590P LED 27"",1920x1080,MegaDCR/1000:1,300cd/m2,5ms,2xHDMI,Black,LED,D-Sub,27"",Full HD,16:9";62210;12
68204;Videokártya;Palit;Palit GeForce GTX750Ti 2GB DDR5 StormX Dual nVidia,PCIE,GPU:1202/1281MHz,RAM:6008MHz,2GB,DDR5,128bit,Aktív hûtés,VGA,1xDVI,mini HDMI;31050;36
68205;Monitor;Samsung;"Samsung 23,6"" S24D390HL LED 23,6"",1920x1080,MegaDCR/1000:1,250cd/m2,5ms,1xHDMI,Black,LED,D-Sub,23,6"",Full HD,16:9";38820;12
68268;Processzor;Be quiet!;Be quiet! DC1 Hûtõpaszta 3g;1270;0
68283;Processzor;AMD;AMD Athlon 5150 AM1 1,6GHz BOX;7100;36
68284;Processzor;AMD;AMD Athlon 5350 AM1 2,05GHz BOX;8500;36
68330;Monitor;Samsung;"Samsung 21,5"" S22D300NY LED 21,5"",1920x1080,MegaDCR/600:1,200cd/m2,5ms,Black,LED,D-Sub,21,5"",Full HD,16:9";31390;12
68331;Monitor;Samsung;"Samsung 24"" S24D300H LED 24"",1920x1080,MegaDCR/1000:1,250cd/m2,2ms,1xHDMI,Black,LED,D-Sub,24"",Full HD,16:9";34680;12
68408;Monitor;Lenovo;"Lenovo 23"" E2323 LED 23"",1920x1080,3000000:1,250cd/m2,5ms,1xDVI,Black,LED,D-Sub,23"",Full HD,16:9";47120;36
68449;Monitor;Asus;"Asus 23"" VX238H LED 23"",1920x1080,80M:1,250cd/m2,1ms,2xHDMI,Black,Multimédia,LED,D-Sub,23"",Full HD,16:9";37500;36
68493;Memória;Kingston;Kingston 2GB DDR2 800MHz Dell;6850;-1
68548;Memória;HP;HP 4GB DDR3 1600MHz;8310;12
68823;Monitor;Samsung;"Samsung 21,5"" S22D300HY LED 21,5"",1920x1080,MegaDCR/600:1,200cd/m2,5ms,1xHDMI,Black,LED,D-Sub,21,5"",Full HD,16:9";28300;12
68885;Memória;Kingston;Kingston 8GB DDR3 1600MHz Dell;8420;-1
68886;Memória;Kingston;Kingston 16GB DDR3 1866MHz Kit(2x8GB) HyperX Fury Black Series;17320;-1
68887;Memória;Kingston;Kingston 16GB DDR3 1866MHz Kit(2x8GB) HyperX Fury White Series;16990;-1
68888;Memória;Kingston;Kingston 4GB DDR3 1866MHz HyperX Fury Black Series;4600;-1
68889;Memória;Kingston;Kingston 8GB DDR3 1866MHz HyperX Fury Black Series;9260;-1
68890;Memória;Kingston;Kingston 8GB DDR3 1866MHz Kit(2x4GB) HyperX Fury Black Series;8990;-1
68891;Memória;Kingston;Kingston 8GB DDR3 1866MHz Kit(2x4GB) HyperX Fury White Series;9700;-1
68938;Memória;Kingston;Kingston 4GB DDR3 1600MHz HyperX Fury White Series;4690;-1
68939;Memória;Kingston;Kingston 4GB DDR3 1600MHz HyperX Fury Black Series;4720;-1
68940;Memória;Kingston;Kingston 4GB DDR3 1600MHz HyperX Fury Red Series;4690;-1
68941;Memória;Kingston;Kingston 8GB DDR3 1600MHz HyperX Fury Red Series;8400;-1
68942;Memória;Kingston;Kingston 8GB DDR3 1600MHz HyperX Fury White Series;8990;-1
68943;Memória;Kingston;Kingston 8GB DDR3 1600MHz HyperX Fury Black Series;7990;-1
68944;Memória;Kingston;Kingston 8GB DDR3 1600MHz HyperX Fury Blue Series;7990;-1
68991;Monitor;Acer;"Acer 19,5"" K202HQLB LED 19,5"",1600x900,1000000:1,200cd/m2,5ms,Black,LED,D-Sub,HD,19,5"",16:9";19490;24
69043;Memória;Kingston;Kingston 4GB DDR3 1600MHz HyperX Fury Blue Series;4590;-1
69145;Memória;Geil;Geil 8GB DDR3 1866MHz Evo Leggera Kit2 (2x4GB);13880;-1
69194;Memória;Kingston;Kingston 16GB DDR3 1600MHz Kit(2x8GB) HyperX Fury Blue Series;15990;-1
69223;Memória;Geil;Geil 2GB DDR3 1333MHz Evo Veloce CL9;3680;-1
69297;Memória;Kingston;Kingston 4GB DDR3 1600MHz Single Rank Lenovo;4560;-1
69305;Nyomtató;HP;HP Color LaserJet Enterprise M651dn (CZ256A) színes lézernyomtató;298210;12
69309;Memória;Kingston;Kingston 16GB DDR3 1333MHz Kit(2x8GB) HyperX Fury Blue Series;17500;-1
69310;Memória;Kingston;Kingston 16GB DDR3 1333MHz Kit(2x8GB) HyperX Fury Black Series;16490;-1
69311;Memória;Kingston;Kingston 16GB DDR3 1333MHz Kit(2x8GB) HyperX Fury Red Series;15990;-1
69312;Memória;Kingston;Kingston 16GB DDR3 1333MHz Kit(2x8GB) HyperX Fury White Series;16990;-1
69313;Memória;Kingston;Kingston 16GB DDR3 1600MHz Kit(2x8GB) HyperX Fury Black Series;16400;-1
69314;Memória;Kingston;Kingston 16GB DDR3 1600MHz Kit(2x8GB) HyperX Fury Red Series;17990;-1
69315;Memória;Kingston;Kingston 16GB DDR3 1866MHz Kit(2x8GB) HyperX Fury Red Series;17500;-1
69317;Memória;Kingston;Kingston 4GB DDR3 1333MHz HyperX Fury Red Series;4690;-1
69319;Memória;Kingston;Kingston 4GB DDR3 1333MHz HyperX Fury Blue Series;4690;-1
69320;Memória;Kingston;Kingston 8GB DDR3 1333MHz Kit(2x4GB) HyperX Fury Blue Series;9690;-1
69321;Memória;Kingston;Kingston 8GB DDR3 1333MHz Kit(2x4GB) HyperX Fury Black Series;9690;-1
69322;Memória;Kingston;Kingston 8GB DDR3 1333MHz Kit(2x4GB) HyperX Fury Red Series;9690;-1
69323;Memória;Kingston;Kingston 8GB DDR3 1333MHz Kit(2x4GB) HyperX Fury White Series;9350;-1
69324;Memória;Kingston;Kingston 8GB DDR3 1333MHz HyperX Fury Black Series;7990;-1
69325;Memória;Kingston;Kingston 8GB DDR3 1333MHz HyperX Fury Red Series;7990;-1
69326;Memória;Kingston;Kingston 8GB DDR3 1333MHz HyperX Fury Blue Series;7990;-1
69327;Memória;Kingston;Kingston 8GB DDR3 1333MHz HyperX Fury White Series;8290;-1
69328;Memória;Kingston;Kingston 8GB DDR3 1600MHz Kit(2x4GB) HyperX Fury Black Series;8990;-1
69329;Memória;Kingston;Kingston 8GB DDR3 1600MHz Kit(2x4GB) HyperX Fury Blue Series;8990;-1
69330;Memória;Kingston;Kingston 8GB DDR3 1600MHz Kit(2x4GB) HyperX Fury Red Series;9250;-1
69331;Memória;Kingston;Kingston 8GB DDR3 1600MHz Kit(2x4GB) HyperX Fury White Series;9700;-1
69332;Memória;Kingston;Kingston 8GB DDR3 1866MHz Kit(2x4GB) HyperX Fury Blue Series;9030;-1
69333;Memória;Kingston;Kingston 8GB DDR3 1866MHz Kit(2x4GB) HyperX Fury Red Series;8990;-1
69334;Memória;Kingston;Kingston 8GB DDR3 1866MHz HyperX Fury Red Series;8400;-1
69335;Memória;Kingston;Kingston 8GB DDR3 1866MHz HyperX Fury White Series;8990;-1
69336;Memória;Kingston;Kingston 4GB DDR3 1333MHz HyperX Fury Black Series;4700;-1
69337;Memória;Kingston;Kingston 4GB DDR3 1333MHz HyperX Fury White Series;4900;-1
69338;Memória;Kingston;Kingston 16GB DDR3 1600MHz Kit(2x8GB) HyperX Fury White Series;16990;-1
69339;Memória;Kingston;Kingston 16GB DDR3 1866MHz Kit(2x8GB) HyperX Fury Blue Series;16400;-1
69340;Memória;Kingston;Kingston 4GB DDR3 1866MHz HyperX Fury Red Series;4690;-1
69341;Memória;Kingston;Kingston 4GB DDR3 1866MHz HyperX Fury White Series;4950;-1
69342;Memória;Kingston;Kingston 4GB DDR3 1866MHz HyperX Fury Blue Series;4930;-1
69343;Memória;Kingston;Kingston 8GB DDR3 1866MHz HyperX Fury Blue Series;8090;-1
69389;Monitor;Dell;"Dell 17"" E1715S LED 17"",1280x1024,1000:1,250cd/m2,5ms,Black,LED,D-Sub,17"",DP";28980;36
69499;Monitor;LG;"LG 23"" 23ET63V-W IPS LED 23"",1920x1080,10000000:1,250cd/m2,5ms,1xHDMI,White,LED,Érintõképernyõ,D-Sub, USB,23"",Full HD,16:9";90230;36
69573;Memória;Geil;Geil 4GB DDR3 1600MHz;5410;-1
69592;Memória;CSX;CSX 1GB DDR2 667MHz ALPHA;1950;-1
69710;Nyomtató;Samsung;Samsung SL-M2835DW wireless hálózatos/duplex lézernyomtató;34900;12
69774;Processzor;DeepCool;DeepCool Z3 hõpaszta 1,5g;700;0
69775;Processzor;DeepCool;DeepCool Z5 hõpaszta 3g;1010;0
69791;Videokártya;Asus;Asus R5 230-SL-2GD3-L AMD,PCIE,GPU:650MHz,RAM:1200MHz,2GB,DDR3,64bit,Passzív hûtés,VGA,1xDVI,1xHDMI;12820;36
69818;Memória;Corsair;Corsair 64GB DDR3 2400MHz Kit (8x8GB) Vengeance Pro XMP;110250;-1
70090;Videokártya;Msi;Msi N610-1GD3H/LPV1 nVidia,PCIE,GPU:810MHz,RAM:1000MHz,1GB,DDR3,64bit,Passzív hûtés,VGA,1xDVI,1xHDMI,LP;8200;36
70123;Memória;Kingston;Kingston 8GB DDR3 1333MHz;15050;-1
70176;Processzor;Intel;Intel Core i7-4790 3600MHz 8MB LGA1150 Box;71550;36
70216;Videokártya;Asus;Asus R5 230-SL-1GD3-L AMD,PCIE,GPU:625MHz,RAM:1200MHz,1GB,DDR3,64bit,Passzív hûtés,VGA,1xDVI,1xHDMI;10560;36
70298;Processzor;Intel;Intel Pentium G3240 3100MHz 3MB LGA1150 Box;11950;36
70398;Memória;Kingston;Kingston 1GB DDR2 667MHz Dell;3930;-1
70399;Memória;Kingston;Kingston 2GB DDR2 667MHz Dell;7250;-1
70432;Monitor;Acer;"Acer 24"" GN246HLBbid LED 24"",1920x1080,100000000:1,350cd/m2,1ms,1xDVI,1xHDMI,Black,LED,D-Sub,144MHz,24"",3D,Full HD,16:9";62610;60
70445;Nyomtató;Samsung;Samsung SL-M2625D lézernyomtató;24040;12
70446;Nyomtató;Samsung;Samsung SL-C1810W wireless színes hálózatos lézernyomtató;61270;12
70477;Videokártya;Asus;Asus R7 240-SL-2GD3-L AMD,PCIE,GPU:780MHz,RAM:900MHz,2GB,DDR3,128bit,Aktív hûtés,VGA,1xDVI,1xHDMI,LP;17550;36
70515;Processzor;Intel;Intel Core i5-4690S 3200MHz 6MB LGA1150 Box;52650;36
70516;Processzor;Intel;Intel Core i7-4790S 3200MHz 8MB LGA1150 Box;71900;36
70526;Memória;Kingston;Kingston 8GB DDR3 1333MHz Kit(2x4GB);8990;-1
70528;Memória;Kingston;Kingston 4GB DDR3 1333MHz;4750;-1
70542;Videokártya;Asus;Asus R7 250-OC-2GD3 AMD,PCIE,GPU:1060/1110MHz,RAM:1800MHz,2GB,DDR3,128bit,Aktív hûtés,VGA,1xDVI,1xHDMI;20400;36
70588;Videokártya;Asus;Asus GT740-OC-1GD5 nVidia,PCIE,GPU:1033MHz,RAM:5000MHz,1GB,DDR5,128bit,Aktív hûtés,VGA,1xDVI,1xHDMI;22660;36
70613;Processzor;Intel;Intel Celeron G1840 2800MHz 2MB LGA1150 Box;7820;36
70676;Monitor;Benq;"Benq 24"" GL2450H LED 24"",1920x1080,12M:1,250cd/m2,5ms,1xHDMI,Black,LED,D-Sub,24"",Full HD,16:9";37260;36
70689;Videokártya;Asus;Asus GT740-2GD3 nVidia,PCIE,GPU:993MHz,RAM:1782MHz,2GB,DDR3,128bit,Aktív hûtés,VGA,1xDVI,1xHDMI;22020;36
70764;Monitor;AOC;"AOC 18,5"" E970SWN LED 18,5"",1366x768,20M:1/700:1,200cd/m2,5ms,Black,LED,D-Sub,HD,18,5"",16:9";17310;36
70765;Monitor;AOC;"AOC 19,5"" E2070SWN LED 19,5"",1600x900,20M:1/600:1,200cd/m2,5ms,Black,LED,D-Sub,HD,19,5"",16:9";18650;36
70768;Monitor;Philips;"Philips 21,5"" 223V5LSB2 LED 21,5"",1920x1080,10M:1/600:1,200cd/m2,5ms,Black,LED,D-Sub,21,5"",Full HD,16:9";23030;36
70785;Videokártya;Sapphire;Sapphire R7 250X 1GB DDR5 FLEX AMD,PCIE,GPU:1000MHz,RAM:4800MHz,1GB,DDR5,128bit,Aktív hûtés,2xDVI,1xHDMI,CrossFire,DisplayPort;23250;24
70862;Memória;Corsair;Corsair 32GB DDR3 1600MHz Kit (4x8GB) Dominator Platinum;78150;-1
71003;Videokártya;Asus;Asus R7 240-OC-4GD3-L AMD,PCIE,GPU:770/820MHz,RAM:1800MHz,4GB,DDR3,128bit,Aktív hûtés,VGA,1xDVI,1xHDMI,LP;20650;36
71014;Monitor;HP;"HP 24"" EliteDisplay E241i (F0W81AA) LED 24"",1920x1080,5M:1,250cd/m2,8ms,1xDVI,Black/Silver,Pivot,LED,D-Sub, USB,24"",DP,Full HD,16:9";68510;36
71045;Videokártya;Asus;Asus GTX750-PHOC-2GD5 nVidia,PCIE,GPU:1059/1137MHz,RAM:5010MHz,2GB,DDR5,128bit,Aktív hûtés,VGA,1xDVI,1xHDMI;35270;36
71176;Nyomtató;Epson;Epson LQ-350 Mátrix nyomtató;58500;12
71182;Nyomtató;Star;Star SP500 nyomtató, USB, Grey;55520;12
71304;Nyomtató;Cube;Cube 3D wireless asztali nyomtató Gen2 Silver;169430;12
71346;Memória;Transcend;Transcend 2GB DDR3 1333MHz Dual Rank;5980;-1
71458;Videokártya;Asus;Asus GT730-SL-2GD3-BRK nVidia,PCIE,GPU:902MHz,RAM:1800MHz,2GB,DDR3,64bit,Passzív hûtés,VGA,1xDVI,1xHDMI,LP;15000;36
71560;Videokártya;Gainward;Gainward GeForce 750GTX 1GB DDR5 (one solt) nVidia,PCIE,GPU:1020/1085MHz,RAM:5010MHz,1GB,DDR5,128bit,Aktív hûtés,VGA,1xDVI,1xHDMI;31050;36
71710;Videokártya;Gainward;Gainward GeForce 740GT 1GB DDR5 nVidia,PCIE,GPU:993MHz,RAM:5000MHz,1GB,DDR5,128bit,Aktív hûtés,VGA,1xDVI,1xHDMI;21620;36
71743;Memória;Lenovo;Lenovo 4GB DDR3 1600MHz;5430;12
71774;Videokártya;Msi;Msi N740-2GD5 nVidia,PCIE,GPU:1006MHz,RAM:5000MHz,2GB,DDR5,128bit,Aktív hûtés,VGA,1xDVI,1xHDMI;23230;36
71846;Monitor;Benq;"Benq 21,5"" DL2215 LED 21,5"",1920x1080,DCR:12M:1/600:1,200cd/m2,5ms,1xDVI,Black,LED,D-Sub,21,5"",Full HD,16:9";29330;36
71847;Monitor;Benq;"Benq 24"" EW2440L LED 24"",1920x1080,DCR:20M:1/3000:1,250cd/m2,4ms,2xHDMI,Black,LED,D-Sub,24"",Full HD,16:9";45480;36
71848;Monitor;Benq;"Benq 24"" GL2450HT LED 24"",1920x1080,DCR:12M:1/1000:1,250cd/m2,5ms,1xDVI,1xHDMI,Black,Pivot,Multimédia,LED,D-Sub,24"",Full HD,16:9";46690;36
71926;Memória;Transcend;Transcend 2GB DDR3 1333MHz Single Rank;3710;-1
71992;Monitor;Asus;"Asus 27"" VS278H LED 27"",1920x1080,80000000:1,300cd/m2,1ms,2xHDMI,Black,Multimédia,LED,D-Sub,27"",Full HD,16:9";52490;36
72099;Monitor;Acer;"Acer 21,5"" K222HQLBD LED 21,5"",1920x1080,100000000:1,250cd/m2,5ms,1xDVI,Black,LED,D-Sub,21,5"",Full HD,16:9";24090;24
72100;Monitor;Acer;"Acer 24"" K242HLABID LED 24"",1920x1080,100M:1,250cd/m2,2ms,1xDVI,1xHDMI,Black,LED,D-Sub,24"",Full HD,16:9";37460;24
72101;Monitor;Acer;"Acer 24"" K242HLBD LED 24"",1920x1080,100M:1,250cd/m2,5ms,1xDVI,Black,LED,D-Sub,24"",Full HD,16:9";31500;24
72181;Videokártya;Asus;Asus GTX750TI-2GD5 nVidia,PCIE,GPU:1020/1085MHz,RAM:5400MHz,2GB,DDR5,128bit,Aktív hûtés,VGA,2xDVI,1xHDMI;36530;36
72271;Nyomtató;Epson;Epson TM-T20II blokknyomtató;30950;24
72286;Videokártya;Asus;Asus R7 240-1GD3 AMD,PCIE,GPU:600MHz,RAM:1600MHz,1GB,DDR3,64bit,Aktív hûtés,VGA,1xDVI,1xHDMI;13570;36
72351;Memória;CSX;CSX 4GB DDR3 1866MHz Standard;5240;120
72362;Monitor;Dell;"Dell 23"" UZ2315H LED 23"",1920x1080,1000:1,300cd/m2,8ms,1xHDMI,Black,Pivot,D-Sub, USB,23"",DP,Full HD,16:9";65200;36
72454;Videokártya;GIGABYTE;GIGABYTE GT730 2GB DDR3 GV-N730-2GI nVidia,PCIE,GPU:700MHz,RAM:1600MHz,2GB,DDR3,128bit,Aktív hûtés,VGA,1xDVI,1xHDMI;14600;36
72455;Videokártya;GIGABYTE;GIGABYTE R5 230 1GB DDR3 GV-R523D3-1GL AMD,PCIE,GPU:625MHz,RAM:1066MHz,1GB,DDR3,64bit,Aktív hûtés,VGA,1xDVI,1xHDMI;8900;36
72456;Videokártya;Msi;Msi R5 230 2GD3H LP AMD,PCIE,GPU:625MHz,RAM:1066MHz,2GB,DDR3,64bit,Passzív hûtés,VGA,1xDVI,1xHDMI;12560;36
72547;Monitor;Fujitsu;"Fujitsu 24"" B24T-7 LED 24"",1920x1080,20M:1/1000:1,250cd/m2,5ms,1xDVI,1xHDMI,White,Pivot,Multimédia,LED,D-Sub, 4xUSB,24"",Full HD,16:9";51740;36
72548;Monitor;Fujitsu;"Fujitsu 27"" B27T-7 LED 27"",1920x1080,20M:1/1000:1,300cd/m2,5ms,1xDVI,1xHDMI,White,Pivot,Multimédia,LED,D-Sub, 4xUSB,27"",Full HD,16:9";90910;36
72566;Videokártya;GIGABYTE;GIGABYTE GT610 2GB DDR3 GV-N610SL-2GL nVidia,PCIE,GPU:810MHz,RAM:1333MHz,2GB,DDR3,64bit,Passzív hûtés,VGA,1xDVI,1xHDMI,LP;9590;36
72733;Processzor;Intel;Intel Core i7-4790K 4000MHz 8MB LGA1150 Box;79380;36
72780;Videokártya;Asus;Asus GT740-OC-2GD5 nVidia,PCIE,GPU:1033MHz,RAM:5000MHz,2GB,DDR5,128bit,Aktív hûtés,VGA,1xDVI,1xHDMI;25000;36
72852;Monitor;Samsung;"Samsung 23,6"" T24D391EW LED (monitor/tv) 23,6"",1920x1080,MegaDCR/1000:1,250cd/m2,5ms,1xDVI,2xHDMI,White,Multimédia,TV,LED,D-Sub, USB, AV, Komponens, SCART,23,6"",Full HD,16:9";47510;12
72891;Videokártya;Asus;Asus GT730-SL-1GD3-BRK nVidia,PCIE,GPU:902MHz,RAM:1800MHz,1GB,DDR3,64bit,Passzív hûtés,VGA,1xDVI,1xHDMI,LP;12450;36
72908;Nyomtató;Epson;Epson L1800 Tintasugaras ultranagy tintakapacitású nyomtató;144390;12
72997;Memória;Crucial;Crucial 8GB DDR3 1600MHz;9160;-1
73171;Nyomtató;Epson;Epson L1300 Tintasugaras ultranagy tintakapacitású nyomtató;102880;12
73193;Monitor;Asus;"Asus 28"" PB287Q LED 28"",3840x2160,100000000:1,300cd/m2,1ms,1xHDMI,Black,Pivot,Multimédia,LED,4K,28"",DP,Full HD,16:9";129080;36
73246;Monitor;Asus;"Asus 19,5"" VT207N LED 19,5"",1600x900,100000000:1,250cd/m2,5ms,1xDVI,Black,LED,Érintõképernyõ,D-Sub,HD,19,5"",16:9";45370;36
73247;Monitor;Asus;"Asus 24"" VX248H LED 24"",1920x1080,80000000:1,250cd/m2,1ms,1xDVI,2xHDMI,Black,Multimédia,LED,D-Sub,24"",Full HD,16:9";39400;36
